2026-01-29 10:38:29 | INFO | __main__:initialize:54 | ========== RTSP监测系统初始化完成（使用背景建模检测） ==========
2026-01-29 10:38:32 | INFO | __main__:start_all_monitors:59 | ========== 开始启动RTSP监测服务 ==========
2026-01-29 10:38:32 | INFO | database:_fetch_cameras_from_api:103 | 调用摄像头配置接口: https://localhost:8090/caseapp/track/rtspStream
2026-01-29 10:38:32 | INFO | database:_fetch_cameras_from_api:121 | 接口返回 7 个摄像头配置
2026-01-29 10:38:32 | WARNING | database:get_all_cameras:171 | 数据库中未找到USB摄像头配置（rtspssl LIKE 'usb:%'）
2026-01-29 10:38:32 | INFO | __main__:start_all_monitors:68 | 找到 7 个有效摄像头，开始启动监测...
2026-01-29 10:38:32 | INFO | __main__:start_all_monitors:85 | YOLO池配置分析: 需要创建池ID=[], 需要默认池=True
2026-01-29 10:38:32 | INFO | __main__:start_all_monitors:100 | 使用多线程 YOLO 池
2026-01-29 10:38:32 | ERROR | __main__:start_all_monitors:133 | 创建YOLO池失败: OpenVINO 未安装，请运行: pip install openvino
或者在 config.py 中设置 force_engine='onnx' 使用 ONNX Runtime
2026-01-29 10:38:32 | WARNING | __main__:start_all_monitors:134 | 将回退到每个摄像头独立创建YOLO实例的模式
2026-01-29 10:38:32 | INFO | __main__:start_all_monitors:158 | 摄像头 大门区域摄像头1 (ID: 1) 使用YOLO配置: 默认全局池
2026-01-29 10:38:32 | INFO | camera_monitor:__init__:43 | 摄像头 大门区域摄像头1 (ID: 1) RTSP URL: rtsp://admin:khjy%40123@192.168.100.109:554/Streaming/Channels/100
2026-01-29 10:38:32 | INFO | image_detection:__init__:32 | 初始化背景建模检测器
2026-01-29 10:38:32 | INFO | image_storage:__init__:37 | 图片保存目录: D:\appdata\uploadPath\caseapp
2026-01-29 10:38:32 | INFO | camera_monitor:__init__:58 | 摄像头 大门区域摄像头1 将创建独立YOLO实例
2026-01-29 10:38:32 | INFO | camera_monitor:_worker_process:156 | 后台工作线程开始运行 - 摄像头: 大门区域摄像头1
2026-01-29 10:38:32 | INFO | camera_monitor:start:118 | 后台工作线程已启动: 大门区域摄像头1 (ID: 1)
